refcode,metal,S_TBPY,S_SPY,delta,in_ridge
GORQEJ,Cu,10.46,11.24,0.78,True
GORQIN,Cu,8.19,7.43,0.76,True
GORQIN01,Cu,4.94,7.42,2.48,False
GORRUD,Cu,0.28,6.09,5.81,False
GOSBEX,Zn,0.72,0.84,0.12,True
GOSTEP,Rh,6.09,6.39,0.3,True
GOSTOZ,Rh,0.37,1.82,1.45,False
GOSTUF,Rh,6.05,6.06,0.01,True
GOSVAN,Rh,6.23,6.54,0.31,True
GOSVER,Rh,6.2,6.42,0.22,True
GOSVIV,Rh,0.36,1.7,1.34,False
GOSVOB,Rh,5.51,6.0,0.49,True
GOSVUH,Rh,5.79,6.06,0.27,True
GOSWAP,Co,0.32,0.88,0.56,True
GOSXUH,Fe,4.03,6.43,2.4,False
GOTGAB,Zn,4.86,6.86,2.0,False
GOTHEG,Mn,1.37,5.32,3.95,False
GOTKEH,Nb,5.07,8.31,3.24,False
GOTNOV,Fe,5.03,5.82,0.79,True
GOTNUB,Fe,4.91,5.91,1.0,False
GOTQAJ,Fe,0.78,0.98,0.2,True
GOTVOA,Ru,5.23,6.06,0.83,True
GOTWAP,Zr,0.68,1.14,0.46,True
GOTWIX,Zr,1.15,3.49,2.34,False
GOTWOD,Zr,5.83,5.87,0.04,True
GOTYEV,Re,4.84,5.39,0.55,True
GOVBUQ,Re,4.81,5.45,0.64,True
GOVLOU,Zn,0.49,1.0,0.51,True
GOVMEL,Zn,0.48,0.94,0.46,True
GOWCOK,Cu,6.19,7.46,1.27,False
GOWFON,Cu,5.76,11.54,5.78,False
GOWQOY,Zn,11.17,12.9,1.73,False
GOWROZ,Zn,0.17,0.9,0.73,True
GOWSUI,Mn,0.29,0.6,0.31,True
GOWTAP,Mn,4.8,6.1,1.3,False
GOWTET,Mn,0.32,0.86,0.54,True
GOXDAY,Fe,5.03,5.7,0.67,True
GOXRAM,Cu,0.34,0.55,0.21,True
GOXREQ,Cu,0.36,0.69,0.33,True
GOXTUK,Pd,4.92,5.95,1.03,False
GOYNUH,Cu,0.84,6.22,5.38,False
GOZGOT,Zn,0.27,0.79,0.52,True
GOZPIU,Mo,4.49,5.92,1.43,False
GOZSIX,Pd,4.41,5.47,1.06,False
GOZXEY,Re,0.34,6.49,6.15,False
GUBFIV,Fe,0.17,0.87,0.7,True
GUBQUP,Ru,5.62,5.91,0.29,True
GUCBIR,Fe,0.25,1.57,1.32,False
GUCCUF,Cu,0.5,5.88,5.38,False
GUCFUI,Co,0.28,5.16,4.88,False
GUCHAQ,Cu,4.43,5.79,1.36,False
GUCNOL,Co,1.06,6.43,5.37,False
GUCXIL,Fe,0.9,6.37,5.47,False
GUCXOR,Fe,4.52,6.63,2.11,False
GUDPUQ,Mo,5.15,6.56,1.41,False
GUDXEI,Cu,7.02,12.57,5.55,False
GUFBER,Zn,6.34,8.6,2.26,False
GUFDOA,Mo,7.75,7.97,0.22,True
GUFPUU,Zn,4.78,6.23,1.45,False
GUGBER,Mn,6.21,7.47,1.26,False
GUGBOB,Mn,4.16,3.63,0.53,True
GUGBUH,Mn,6.59,7.32,0.73,True
GUGCEQ,Ni,0.11,1.3,1.19,False
GUGDAP,Cu,4.94,7.56,2.62,False
GUGKIC,V,5.16,6.02,0.86,True
GUGPOR,Cu,1.42,4.59,3.17,False
GUGPUX,Cu,5.28,5.4,0.12,True
GUGWIO,Cu,5.4,6.01,0.61,True
GUHDOG,Re,0.03,5.7,5.67,False
GUHDOG01,Re,5.96,8.62,2.66,False
GUHDOG02,Re,4.05,8.62,4.57,False
GUHDOG03,Re,3.81,5.7,1.89,False
GUHDOG04,Re,3.82,5.71,1.89,False
GUHDOG05,Re,5.94,5.73,0.21,True
GUHDOG06,Re,3.82,5.71,1.89,False
GUHDOG07,Re,3.78,8.74,4.96,False
GUHKOK,Cu,3.46,4.68,1.22,False
GUHYUH,Zn,0.81,4.54,3.73,False
GUJMIL,Cu,1.1,1.55,0.45,True
GUKCEY,Re,4.06,8.65,4.59,False
GUKCIC,Re,6.01,4.32,1.69,False
GUKCIC01,Re,5.75,7.02,1.27,False
GUKCIC02,Re,5.81,5.49,0.32,True
GUKCIC03,Re,5.99,12.91,6.92,False
GUKCIZ,Ti,0.71,4.73,4.02,False
GUKFEZ,Fe,0.21,0.73,0.52,True
GUKLAB,Fe,0.32,1.4,1.08,False
GUKLIJ,Fe,5.86,6.02,0.16,True
GUKMAC,Co,4.13,6.45,2.32,False
GUKNAD,Co,0.09,1.05,0.96,True
GUKRIN,Fe,0.68,1.31,0.63,True
GUKSEM,Ti,0.43,5.2,4.77,False
GULJOM,Rh,8.49,9.15,0.66,True
GULNEJ,V,5.16,5.87,0.71,True
GULNIN,V,0.28,0.54,0.26,True
GULNOT,V,0.12,1.25,1.13,False
GULNUZ,V,8.69,11.25,2.56,False
GULZAO,Ru,5.94,6.15,0.21,True
GUMCEX,V,1.12,6.61,5.49,False
GUMSOW,Zn,0.4,6.12,5.72,False
GUMSUE,Cu,5.21,5.98,0.77,True
GUMTAL,Cu,9.49,12.48,2.99,False
GUMTEP,Cu,3.77,7.72,3.95,False
GUMYAQ,Cu,1.36,4.12,2.76,False
GUMYAQ01,Cu,1.35,5.33,3.98,False
GUPDOM,V,4.86,5.73,0.87,True
GUPSEP,Cu,0.4,6.21,5.81,False
GUPSOZ,Cu,0.59,2.53,1.94,False
GUPTAM,Cu,0.65,2.72,2.07,False
GUPTEQ,Cu,3.94,4.73,0.79,True
GUPTOA,Cu,3.1,8.2,5.1,False
GUPTUG,Cu,3.42,4.97,1.55,False
GUQYOH,Fe,4.59,5.92,1.33,False
GURGUW,Zn,5.2,5.36,0.16,True
GURMIS,Os,5.64,6.1,0.46,True
GURROC,Cu,8.93,9.05,0.12,True
GUSFUZ,Zn,0.26,0.7,0.44,True
GUSQIU,Sc,0.34,2.84,2.5,False
GUTDOR,Fe,0.75,6.74,5.99,False
GUTDUV,Zn,0.54,1.53,0.99,True
GUTFAD,Re,5.85,5.95,0.1,True
GUTNEQ,Fe,5.26,5.98,0.72,True
GUTTEV,Fe,0.51,0.95,0.44,True
GUTTIZ,Fe,5.7,5.92,0.22,True
GUTTOF,Fe,0.21,0.8,0.59,True
GUTVOH,Cu,4.63,6.26,1.63,False
GUVFOT,Cu,0.49,0.51,0.02,True
GUVFUZ,Cu,0.71,5.86,5.15,False
GUWNOE,Cu,5.13,6.05,0.92,True
GUWVEC,Re,9.61,8.8,0.81,True
GUWVOM,Re,7.78,16.87,9.09,False
GUWVUS,Re,0.22,0.88,0.66,True
GUWWAW,Co,0.55,0.95,0.4,True
GUWWON,Re,5.88,6.22,0.34,True
GUWXEC,Cd,4.81,6.12,1.31,False
GUWYEF,Re,5.06,5.96,0.9,True
GUWYIJ,Re,0.53,4.73,4.2,False
GUXDIM,Cu,9.81,13.72,3.91,False
GUXDUZ,Sc,0.13,5.78,5.65,False
GUXFEL,Y,0.15,3.92,3.77,False
GUXTOK,Fe,0.16,0.92,0.76,True
GUXTUQ,Fe,0.3,5.39,5.09,False
GUYKIU,Ru,4.9,5.89,0.99,True
GUYRUN,Cu,0.25,0.63,0.38,True
GUYRUN02,Cu,0.22,0.84,0.62,True
GUYRUN03,Cu,0.24,0.66,0.42,True
GUYRUN04,Cu,0.23,0.68,0.45,True
GUZCUZ,Co,3.65,4.28,0.63,True
GUZDOY,Cu,0.36,6.1,5.74,False
GUZMAR,Ti,7.18,8.74,1.56,False
GUZMEV,Zr,0.69,5.23,4.54,False
GUZMIZ,Hf,0.65,5.67,5.02,False
GUZMOF,Zr,0.54,1.15,0.61,True
GUZMUL,Hf,0.55,5.93,5.38,False
GUZNAS,Hf,1.37,5.91,4.54,False
GUZNEW,Ti,1.04,6.53,5.49,False
GUZNIA,Hf,1.09,6.43,5.34,False
GUZNOG,Zr,0.87,6.29,5.42,False
GUZTIH,Co,4.85,5.33,0.48,True
GUZTUT,Co,10.55,11.48,0.93,True
HABMEG,Hg,4.91,5.88,0.97,True
HABRAG,Ni,5.54,5.59,0.05,True
HABWIQ,Zr,0.37,1.48,1.11,False
HACGAW,Fe,0.23,1.12,0.89,True
HACPUX,Re,0.31,0.45,0.14,True
HACQAE,Re,4.7,5.84,1.14,False
HACYEQ,Zn,4.91,5.77,0.86,True
HADHEB,Ru,0.23,1.55,1.32,False
HADZUH,Ir,5.13,5.88,0.75,True
HAFBAR,Ir,5.51,5.97,0.46,True
HAFHUS,Fe,5.23,5.34,0.11,True
HAFHUV,Fe,1.59,6.29,4.7,False
HAFJIJ,Cr,5.47,5.8,0.33,True
HAFJOQ,Ru,5.53,5.87,0.34,True
HAFKAD,Ru,1.08,5.46,4.38,False
HAFKUX,Ru,5.64,6.13,0.49,True
HAGJEG,Cr,0.03,1.04,1.01,False
HAGJIK,Zn,0.31,0.99,0.68,True
HAGKAE,Zn,0.23,6.06,5.83,False
HAGKEI,Zn,0.17,1.15,0.98,True
HAGMAG,Zn,3.92,4.4,0.48,True
HAGTUE,Cu,0.11,5.19,5.08,False
HAGVAM,Cu,4.84,5.81,0.97,True
HAGWOD,V,0.33,0.8,0.47,True
HAGXOD,Cu,0.07,3.58,3.51,False
HAGXOE,Ir,0.38,1.34,0.96,True
HAHCUQ,Ru,0.41,1.16,0.75,True
HAHVAQ,Cu,0.21,0.63,0.42,True
HAHXOE,Mn,1.16,3.77,2.61,False
HAHYAR,Mn,2.66,5.85,3.19,False
HAHYEV,Mn,0.83,1.38,0.55,True
HAJBAY,Mn,0.83,1.49,0.66,True
HAJHOS,Cu,4.28,6.91,2.63,False
HAJJEI,Cu,0.25,0.77,0.52,True
HAJTAP,Mo,0.07,0.89,0.82,True
HAKBIF,Zn,0.37,0.89,0.52,True
HAKDAY,Re,1.77,4.25,2.48,False
HAKMEO,Ir,6.29,6.88,0.59,True
HAKMIS,Ir,0.34,1.38,1.04,False
HAKMUE,Ir,5.05,5.53,0.48,True
HALBEB,Ni,5.36,5.81,0.45,True
HALBEB01,Ni,4.87,5.63,0.76,True
HALFEJ,Cu,0.38,6.1,5.72,False
HALTET,Mo,5.27,5.81,0.54,True
HALTOD,Zn,0.29,0.7,0.41,True
HALWAS,Zn,0.22,0.75,0.53,True
HALXAT,Zn,4.33,7.13,2.8,False
HALXIB,Cd,4.57,6.24,1.67,False
HAMBIG,Fe,4.81,5.82,1.01,False
HAMCUX,Mn,4.94,5.5,0.56,True
HAMDAA,Zn,5.01,5.8,0.79,True
HAMDII,Zn,0.31,0.61,0.3,True
HAMFUW,Zn,4.97,5.86,0.89,True
HAMGUA,Cu,5.19,6.65,1.46,False
HAMGUX,Zn,0.29,0.76,0.47,True
HAMHIM,Zn,4.92,5.88,0.96,True
HAMJAG,Zn,4.93,5.82,0.89,True
HAMKAL,Cu,6.55,10.62,4.07,False
HAMKUC,V,5.2,5.78,0.58,True
HAMLAI,Zn,0.36,0.73,0.37,True
HANFEJ,Co,3.65,5.22,1.57,False
HANFUX,Cu,0.77,1.04,0.27,True
HANPOD,Ta,0.16,5.59,5.43,False
HANPUJ,Ta,0.41,6.27,5.86,False
HANSAS,Cr,5.14,5.72,0.58,True
HANSEW,Mo,0.06,0.99,0.93,True
HANSOG,W,5.46,5.76,0.3,True
HANWAU,Ir,4.93,5.95,1.02,False
HANWAU01,Ir,4.92,5.94,1.02,False
HAPCIK,Ir,5.47,5.94,0.47,True
HAPGOW,Cu,8.86,17.95,9.09,False
HAPXOO,Fe,0.06,1.13,1.07,False
HAQFOX,Cd,1.09,5.59,4.5,False
HAQKEP,Ru,6.77,7.51,0.74,True
HAQLIW,Ni,5.01,5.31,0.3,True
HAQRAS,Ti,0.56,6.3,5.74,False
HAQSOH,Ni,5.43,7.42,1.99,False
HAQTEY,Co,8.33,13.46,5.13,False
HAQVIH,Co,0.8,6.27,5.47,False
HARDUC,Cu,4.15,4.7,0.55,True
HARPIZ,Re,0.42,0.76,0.34,True
HARXUT,Cu,11.01,11.28,0.27,True
HATCAJ,Zn,0.55,0.69,0.14,True
HATCEN,Zn,4.97,5.79,0.82,True
HATDEP,Co,4.91,5.5,0.59,True
HATDOZ,Co,1.48,5.17,3.69,False
HATDUF,Co,3.62,7.05,3.43,False
HATHET,Zn,0.65,0.71,0.06,True
HATPRU11,Ru,14.39,14.64,0.25,True
HATQIC,Ta,12.39,8.04,4.35,False
HATVOQ,Zn,0.62,5.99,5.37,False
HAVCIS,Hg,5.34,5.54,0.2,True
HAVGOB,Cu,0.28,5.43,5.15,False
HAVJAR01,V,5.17,5.65,0.48,True
HAVLEZ,Fe,1.58,2.64,1.06,False
HAVNOJ,W,5.06,5.7,0.64,True
HAVSEF,Fe,0.31,1.42,1.11,False
HAVSIJ,Fe,0.28,5.57,5.29,False
HAVZAH,Cu,1.02,5.93,4.91,False
HAVZEM,Ta,0.24,0.73,0.49,True
HAWCUE,Cu,5.31,6.15,0.84,True
HAWJUO,Co,5.25,6.7,1.45,False
HAWXAH,Co,0.49,1.35,0.86,True
HAWXEL,Co,1.11,1.69,0.58,True
HAWZOW,V,5.04,5.64,0.6,True
HAXBUH,Fe,0.81,1.14,0.33,True
HAXNID,Ir,5.64,6.78,1.14,False
HAXNID10,Ir,5.64,6.78,1.14,False
HAXPEB,V,4.57,6.13,1.56,False
HAYBOA,Cu,0.64,1.05,0.41,True
HAYROQ,Cu,0.39,1.45,1.06,False
HAZFUM,Ru,5.32,6.56,1.24,False
HAZQIJ,Zn,0.83,6.16,5.33,False
HAZTUX,Cu,0.17,5.69,5.52,False
HBACOV,V,4.67,5.4,0.73,True
HEBMUA,Cu,0.32,6.08,5.76,False
HEBPAJ,Cu,0.48,4.96,4.48,False
HEBWUK,Ni,9.24,12.82,3.58,False
HECHAC,Zn,0.32,5.96,5.64,False
HECKOR,Ir,0.91,6.48,5.57,False
HECQEM,Hg,0.9,2.37,1.47,False
HECQOV,Cr,0.1,5.23,5.13,False
HECSOY,Mo,5.22,5.83,0.61,True
HEDCOJ,Mo,0.05,5.12,5.07,False
HEDCUO,Rh,5.89,9.58,3.69,False
HEDCUP,Mo,0.06,5.09,5.03,False
HEDDAW,W,0.11,1.04,0.93,True
HEDDEA,W,0.11,5.11,5.0,False
HEDKOR,Cu,4.21,4.86,0.65,True
HEDKUW,Ta,6.99,8.01,1.02,False
HEDVAN,Cu,5.42,6.86,1.44,False
HEDVAR,Ni,0.32,4.36,4.04,False
HEDZIA,Re,0.51,1.58,1.07,False
HEDZOG,Re,3.58,4.05,0.47,True
HEFGEG,Ni,0.99,1.01,0.02,True
HEFMIO,Co,0.41,5.5,5.09,False
HEFNAH,Cu,0.59,0.72,0.13,True
HEFQIS,Zn,0.7,6.22,5.52,False
HEFRUF,Cu,5.04,6.15,1.11,False
HEFSIX,Cu,0.69,0.69,0.0,True
HEFTEV,Mn,5.42,6.16,0.74,True
HEGFAA,Ni,0.38,6.3,5.92,False
HEGKEJ,Mo,0.13,1.07,0.94,True
HEGPAM,Cu,0.7,5.74,5.04,False
HEGPEQ,Cu,0.58,4.83,4.25,False
HEGYUP,Cu,4.58,5.65,1.07,False
HEHJIP,Cu,0.37,1.19,0.82,True
HEHNUH,Ru,5.79,6.15,0.36,True
HEHPET,Ni,4.23,5.51,1.28,False
HEHPIT,Cu,4.93,6.1,1.17,False
HEHTIX,Cu,0.47,0.52,0.05,True
HEHYAX,Zn,0.56,4.69,4.13,False
HEJKEO,Co,2.91,6.04,3.13,False
HEJMUI,Zn,5.69,7.78,2.09,False
HEJVID,Pt,0.44,0.72,0.28,True
HEJVUN01,Zn,4.9,5.79,0.89,True
HEJWEA,Ru,5.76,6.28,0.52,True
HEKWIH,Cu,5.57,6.3,0.73,True
HELDEH,Cu,4.83,5.87,1.04,False
HELDIL,Cu,4.84,6.03,1.19,False
HELKIS,Cu,8.43,7.13,1.3,False
HELROI,Fe,4.76,6.46,1.7,False
HELSID,Rh,5.64,6.35,0.71,True
HENXIH,Os,0.2,5.52,5.32,False
HENXIH01,Os,0.21,1.03,0.82,True
HENYAE,Cu,5.81,6.26,0.45,True
HENZEJ,Cu,8.88,9.95,1.07,False
HEPBIN,Cd,4.48,4.55,0.07,True
HEPBOT,Zn,0.62,1.14,0.52,True
HEPLIB,Cu,7.69,15.74,8.05,False
HEPREC,Cu,5.39,9.18,3.79,False
HEPTEC,Co,0.88,1.38,0.5,True
HEPTEC01,Co,0.88,6.44,5.56,False
HEPTIG,Co,0.8,1.46,0.66,True
HEPVEE,Co,5.5,6.7,1.2,False
HEQBAJ,Co,0.41,1.15,0.74,True
HEQBOX,Co,0.23,0.53,0.3,True
HEQGIT,Zn,5.19,6.16,0.97,True
HEQGIT01,Zn,5.19,6.16,0.97,True
HEQHUH,V,0.03,0.83,0.8,True
HEQQUR,Zn,4.32,5.08,0.76,True
HEQWEF,Cu,0.2,1.23,1.03,False
HEQWIJ,Cu,0.48,5.92,5.44,False
HERMAV,Co,0.07,1.25,1.18,False
HERQAA,Cu,4.99,6.43,1.44,False
HERTEE,Zn,0.89,2.55,1.66,False
HERVEJ,Ti,1.18,1.32,0.14,True
HERVIN,Ti,0.95,1.32,0.37,True
HERVOT,Ti,5.86,6.3,0.44,True
HERVUZ,Ti,0.97,1.3,0.33,True
HESPOK,Zn,0.16,0.67,0.51,True
HESPOK10,Zn,0.16,0.67,0.51,True
HETLIF,Cu,4.62,6.31,1.69,False
HETMAU,W,8.4,7.92,0.48,True
HETMAY,Cu,0.62,4.81,4.19,False
HETVEI,V,0.22,0.79,0.57,True
HEVCUK,Cu,0.95,4.61,3.66,False
HEVDEU,Mn,0.29,2.04,1.75,False
HEVDIY,Cr,0.41,0.72,0.31,True
HEVJUO,Fe,0.58,1.91,1.33,False
HEVKID,Fe,13.57,13.71,0.14,True
HEVYUG,Ir,6.1,6.75,0.65,True
HEWCET,Cd,5.24,5.68,0.44,True
HEWCUJ,V,4.66,5.55,0.89,True
HEWGOF,Ti,1.38,6.39,5.01,False
HEWZEO,Mo,0.07,1.22,1.15,False
HEWZIS,W,5.64,5.92,0.28,True
HEWZIS01,W,0.07,1.19,1.12,False
HEWZUF,Cu,0.58,1.3,0.72,True
HEXGIC,Ir,0.89,1.03,0.14,True
HEXROV,Zn,1.09,5.53,4.44,False
HEXWEQ,Fe,0.74,1.54,0.8,True
HEXXEP,Ta,4.78,5.08,0.3,True
HEYNEG,Ni,5.18,13.68,8.5,False
HEYPEG,Fe,0.54,1.96,1.42,False
HEYROV,Cu,10.39,13.29,2.9,False
HEZTUE,Ru,0.32,1.9,1.58,False
HEZVAM,Ru,0.3,1.95,1.65,False
HEZVAM01,Ru,0.31,1.96,1.65,False
HEZVEQ,Ru,0.29,1.96,1.67,False
HIBNUB,Re,0.55,0.74,0.19,True
HICJAH,W,5.46,6.08,0.62,True
HICKAI,Cr,0.43,0.82,0.39,True
HICKOW,W,5.14,5.89,0.75,True
HICYIC,Cu,4.37,6.58,2.21,False
HIDMAL,Hg,2.37,5.68,3.31,False
HIDPAO,Cu,0.35,0.5,0.15,True
HIDQIU,Cu,0.54,4.58,4.04,False
HIDQIU01,Cu,0.54,4.72,4.18,False
HIDVIA,Cu,5.14,6.14,1.0,False
HIDVIA01,Cu,5.13,6.14,1.01,False
HIDWOI,Fe,0.18,1.13,0.95,True
HIDWOI01,Fe,0.19,1.21,1.02,False
HIFTID,Co,0.64,6.15,5.51,False
HIFTOJ,Co,0.71,6.17,5.46,False
HIGBIM,Cu,0.12,5.79,5.67,False
HIGDOT,Ru,0.33,1.24,0.91,True
HIGFIP,Ru,6.11,6.41,0.3,True
HIGFUB,Ru,5.85,6.12,0.27,True
HIGGOW,Ru,6.23,6.3,0.07,True
HIGMOC,Cu,5.99,6.12,0.13,True
HIGPIZ,Re,6.15,6.16,0.01,True
HIGVAV,Ni,0.66,5.19,4.53,False
HIGVOK,V,5.24,6.05,0.81,True
HIGWOM,Ru,0.15,3.65,3.5,False
HIGYAY,Cu,0.61,1.07,0.46,True
HIHJEO,Cu,5.49,6.36,0.87,True
HIHNAO,Cu,1.08,4.44,3.36,False
HIHPAQ,Cu,0.35,1.28,0.93,True
HIHTUP,Cu,4.46,6.21,1.75,False
HIHVUR,Cu,4.63,5.98,1.35,False
HIJDEL,Ru,5.86,6.25,0.39,True
HIJQUN,V,4.69,5.6,0.91,True
HIJSOI,Zn,0.75,6.36,5.61,False
HIJSUO,Zn,0.9,4.96,4.06,False
HIKCOU,W,1.74,5.63,3.89,False
HIKDAH,Mo,1.61,5.52,3.91,False
HIKRIF,Fe,0.39,5.63,5.24,False
HIKVUS,Cu,5.05,6.21,1.16,False
HIKYUW,Cr,5.7,5.85,0.15,True
HIKZAD,W,0.12,1.39,1.27,False
HILDAI,Ni,4.59,5.14,0.55,True
HILDEM,Ni,4.97,5.01,0.04,True
HILDIQ,Ni,4.65,5.36,0.71,True
HILGES,Fe,4.48,5.37,0.89,True
HILHAN,Rh,1.84,4.43,2.59,False
HILHIW,Fe,0.35,5.47,5.12,False
HILHUG,Ni,1.07,6.99,5.92,False
HILPEA,Hf,4.99,6.89,1.9,False
HILPIE,Hf,1.48,3.63,2.15,False
HILZIN,Ni,0.42,6.25,5.83,False
HILZUY,Ru,0.19,1.33,1.14,False
HILZUY01,Ru,5.34,5.92,0.58,True
HIMDEQ,Ru,6.6,11.54,4.94,False
HIMDOX,Sc,6.34,8.33,1.99,False
HIMDOZ,Hg,6.16,6.4,0.24,True
HIMDUF,Hg,4.99,6.82,1.83,False
HIMKEU,Ni,7.64,15.32,7.68,False
HIMKOE,Ni,5.85,10.27,4.42,False
HIMROM,Fe,2.78,6.05,3.27,False
HIMRUS,Fe,2.83,6.01,3.18,False
HIMSOO,Cu,0.55,4.9,4.35,False
HIMYAD,Ni,0.34,4.63,4.29,False
HINFES,Zn,0.5,5.77,5.27,False
HINFIU,Sc,1.17,1.9,0.73,True
HINLIC,Zn,0.51,6.04,5.53,False
HINNUN,Os,0.6,1.43,0.83,True
HINSAA,Co,0.59,1.14,0.55,True
HINVUY,Ni,0.25,1.1,0.85,True
HIPHOG,Fe,0.75,5.2,4.45,False
HIPJEY,Fe,5.48,6.9,1.42,False
HIPNIH,Cu,4.46,5.83,1.37,False
HIPPEC,Ta,1.03,2.36,1.33,False
HIPQII,Co,5.62,5.96,0.34,True
HIPREG,Co,4.94,5.51,0.57,True
HIQDAO,Ru,0.65,1.34,0.69,True
HIQGIZ,Cu,0.98,1.46,0.48,True
HIQGUJ,Cu,8.46,5.61,2.85,False
HIQZEM,Cu,0.5,4.5,4.0,False
HIRDAN,Mn,7.01,7.02,0.01,True
HIRGUK,Fe,0.53,0.85,0.32,True
HIRWEK,Hg,0.83,1.48,0.65,True
HIRWIS,Y,5.0,5.03,0.03,True
HIRXEP,Y,5.52,5.72,0.2,True
HISLIG,Zn,0.57,4.4,3.83,False
HISLON,Os,1.24,4.35,3.11,False
HISLUT,Os,0.49,6.19,5.7,False
HISVEK,Os,13.65,17.18,3.53,False
HISWAH,Pd,8.08,10.97,2.89,False
HISYIV,Cu,4.74,11.56,6.82,False
HISZUF,Rh,5.94,6.71,0.77,True
HITHOI,Fe,0.52,1.59,1.07,False
HITSUZ,Mo,0.16,0.82,0.66,True
HITVAK,Fe,0.43,1.37,0.94,True
HITVEO,Fe,0.35,5.36,5.01,False
HITWAI,Cr,5.45,6.09,0.64,True
HITYAN,Ti,0.2,1.04,0.84,True
HIVFOL,Zr,4.69,5.35,0.66,True
HIVFUR,Zr,5.13,5.77,0.64,True
HIVKIJ,Cu,0.58,0.61,0.03,True
HIVNIN,Fe,0.95,6.22,5.27,False
HIVNOT,Fe,0.81,1.07,0.26,True
HIVNUZ,Cu,5.51,11.92,6.41,False
HIVPAH,Zn,0.86,6.11,5.25,False
HIVPOS,Zn,0.72,6.34,5.62,False
HIVYAM,Re,0.98,5.95,4.97,False
HIWJII,Fe,4.89,6.08,1.19,False
HIXCOH,Ni,0.3,1.09,0.79,True
HIXQEL,Ru,5.42,5.54,0.12,True
HIXWOC,Mn,1.17,5.21,4.04,False
HIXYUI,Rh,4.66,5.18,0.52,True
HIXZAP,Rh,5.74,6.97,1.23,False
HIYJIJ,Fe,5.78,6.24,0.46,True
HIYJIK,Cu,4.93,5.81,0.88,True
HIYZOI,Zn,0.68,0.68,0.0,True
HIZCEA,Co,5.14,5.73,0.59,True
HIZFUT,Cu,4.11,5.89,1.78,False
HIZHOR,Mn,0.7,5.19,4.49,False
HIZKUA,W,4.74,5.88,1.14,False
HIZLAH,W,6.14,7.26,1.12,False
HIZMAE,Y,0.86,0.92,0.06,True
HIZQOW,Ru,5.38,5.41,0.03,True
HIZZAS,Zr,8.87,13.22,4.35,False
HMTCUM,Cu,2.82,4.93,2.11,False
HOBDUZ,Mn,5.12,5.16,0.04,True
HOBGEK,Zn,0.3,0.62,0.32,True
HOBGUA,Fe,0.43,5.23,4.8,False
HOBPIY,Fe,4.6,4.96,0.36,True
HOBPOE,Fe,0.83,4.67,3.84,False
HOBQAR,Fe,0.82,1.83,1.01,False
HOBQEV,Fe,0.93,6.68,5.75,False
HOBQOF,Fe,0.88,6.34,5.46,False
HOBQUL,Fe,1.16,5.69,4.53,False
HOCLIU,Cd,5.67,6.94,1.27,False
HOCLOA,Cd,4.88,5.86,0.98,True
HOCWEC,Cu,1.03,4.93,3.9,False
HODTUS,Cu,10.56,8.28,2.28,False
HODYAE,Y,0.47,5.34,4.87,False
HOFDEN,Fe,0.78,1.58,0.8,True
HOFKOE,Cu,1.31,6.3,4.99,False
HOFPEZ,Rh,5.07,7.15,2.08,False
HOFPIE,Fe,5.61,5.82,0.21,True
HOFTII,Ru,0.74,1.05,0.31,True
HOFWAC,V,0.4,5.57,5.17,False
HOFWOQ,V,0.44,1.39,0.95,True
HOFXAD,V,0.31,1.17,0.86,True
HOGFIS,Cu,0.37,0.93,0.56,True
HOGHEQ,Fe,8.59,11.91,3.32,False
HOGLOE,Mo,5.16,5.57,0.41,True
HOGNEX,Ru,5.67,5.72,0.05,True
HOGNIB,Ru,5.83,6.29,0.46,True
HOGNOH,Ru,5.7,5.74,0.04,True
HOGPIC,Rh,3.69,8.33,4.64,False
HOGPOI,Rh,8.63,11.73,3.1,False
HOHLEY,Cu,0.52,1.11,0.59,True
HOHRAB,V,4.48,5.61,1.13,False
HOHVAB,Zn,0.84,1.89,1.05,False
HOHVEH,Ru,5.86,6.06,0.2,True
HOHYUZ,Os,0.8,1.47,0.67,True
HOHZAG,Rh,0.09,1.05,0.96,True
HOHZEK,Rh,5.32,5.88,0.56,True
HOJDAL,Ta,0.88,5.77,4.89,False
HOJGOF,Cr,5.55,5.9,0.35,True
HOJKEW,Mn,1.28,6.3,5.02,False
HOJMIF,Ru,0.63,0.82,0.19,True
HOJSUX,Mn,1.1,6.12,5.02,False
HOJVEH,Ru,4.89,6.16,1.27,False
HOJVOT,Fe,5.12,6.26,1.14,False
HOJZIP,Cu,0.29,0.94,0.65,True
HOKFUI,Cd,4.7,5.8,1.1,False
HOKGAP,Zn,0.39,5.31,4.92,False
HOKKIB,W,5.22,9.34,4.12,False
HOKYUC,Fe,0.16,5.56,5.4,False
HOLCAM,Cu,5.67,11.55,5.88,False
HOLCAQ,Zn,2.53,4.58,2.05,False
HOLCUH,Cu,10.18,11.78,1.6,False
HOLCUH01,Cu,0.76,6.16,5.4,False
HOLHUN,Hg,2.48,4.73,2.25,False
HOLJAV,Zn,1.39,4.82,3.43,False
HOLNUU,Zn,0.83,5.98,5.15,False
HOLSIK,Os,0.9,5.83,4.93,False
HOMMUU,Cu,4.51,5.86,1.35,False
HONCUJ,Cu,2.89,5.18,2.29,False
HONJAV,Fe,0.47,1.09,0.62,True
HONZIT,Cr,5.27,5.73,0.46,True
HONZOZ,Cr,3.04,4.86,1.82,False
