refcode,metal,oxidation_state,d_count,metal_row,donor_set,S_Oh,S_TPr,JT_proxy,L0_hash,L1_hash,L3_hash
QAVHEB,Re,,,6,"C,P,S",5.3600,7.2000,5.3600,630052834902,592453179572,671211898227
QAVHED,Ru,+2,d6,5,N,4.4300,7.9500,4.4300,697882584999,792968718406,355255588118
QAVHIF,Re,,,6,"C,P,S",5.3500,7.2300,5.3500,764544623353,634548429473,876955291804
QAVMEG,Re,,,6,"C,Cl,N,O",5.4400,6.8600,5.4400,797555821083,976809410050,450718190657
QAVMIK,Re,,,6,"Br,C,N,O",6.2500,8.8700,6.2500,339726343742,881518029441,620637760210
QAVMOQ,Re,,,6,"C,I,N,O",4.8000,5.4300,4.8000,536299469175,725029499739,191518718769
QAVMUW,Re,,,6,"C,N,O",5.5500,5.8300,5.5500,30199115975,405847625702,449869635175
QAVXAM,W,,,6,"C,N",4.8100,6.1000,4.8100,858000870338,199065297202,982137991168
QAVXUI,Ni,+2,d8,4,N,5.8900,7.2600,5.8900,510269937761,405937774778,268936759895
QAVZET,Cr,,,4,"N,O",3.7100,8.8100,3.7100,569165036004,29949913856,991907116467
QAVZIX,Cr,,,4,"N,O",3.9600,7.1200,3.9600,458221902621,310145532353,17052616823
QAWDOJ,Ru,+2,d6,5,"C,N",5.2900,5.5500,5.2900,683065369059,657426085145,344964538754
QAWDUP,Ru,+2,d6,5,"C,N",4.7000,10.0000,4.7000,280836757957,754174498948,626566125293
QAWFAX,Ru,+2,d6,5,"C,N",4.4900,7.7200,4.4900,952524373674,372552182894,511961430821
QAWJUX,Zn,+2,d10,4,O,0.0800,5.6900,0.0800,534944339878,234554778040,965466998819
QAWLOR,Ru,+2,d6,5,"C,N",0.5500,7.2600,0.5500,684426657322,157179553137,235913658097
QAWQOX,Ni,+2,d8,4,N,5.2600,5.4900,5.2600,745608284588,854038222423,678659136404
QAWVUH,Hg,,,6,,3.9600,10.8800,3.9600,537014866150,190237051957,481466695725
QAWXAO,Ru,+2,d6,5,"C,Cl,O,P",5.6500,7.3100,5.6500,867071533194,768074058107,374026087485
QAWXES,Ru,+2,d6,5,"C,Cl,O,P",6.2200,12.9000,6.2200,166303210664,288254238723,712078692288
QAWXIW,Ru,+2,d6,5,"C,Cl,O,P",6.3100,8.9400,6.3100,516738040325,857263417308,736208236446
QAWYAP,Ir,,,6,"C,N",3.6500,4.7800,3.6500,87076141418,212082852683,767980009038
QAWYOD,Ru,+2,d6,5,"As,Cl,N",4.4400,9.0100,4.4400,47152097502,154262319678,787742983444
QAWYUL,Ru,+2,d6,5,"As,C,Cl,N",4.4300,9.2100,4.4300,363173531203,562157001197,762987358708
QAWZOG,W,,,6,"Cl,N,O",3.9100,8.5500,3.9100,123320595224,368380914197,327138738317
QAWZUM,W,,,6,"Cl,N,O",4.5200,6.0700,4.5200,788480891482,466845868672,797471372902
QAXBAV,W,,,6,"Cl,N,O",4.2800,4.4800,4.2800,980340754191,295518669286,560614640151
QAXBEZ,W,,,6,"Cl,N,O",4.3300,5.9700,4.3300,862348561205,979108360203,55062564709
QAXBID,W,,,6,"Cl,N,O",3.8900,5.8500,3.8900,15513934825,839706101613,442040048392
QAXBOG,Rh,+3,d6,5,"Cl,N",4.7700,4.9700,4.7700,146961443312,373948954406,781953452337
QAXBOJ,W,,,6,"Cl,N,O",6.0300,6.8700,6.0300,838085779765,521995371022,518585083616
QAXBUP,W,,,6,"Cl,N,O",4.2600,7.3800,4.2600,416556669925,193581333718,129359194646
QAXCAT,Rh,+3,d6,5,"Cl,N",5.8300,8.0600,5.8300,450612363992,926436198171,472461127159
QAXGUT,Ru,+2,d6,5,"Cl,N,S",6.0200,7.3600,6.0200,373562416656,929556551455,556530835598
QAXHAY01,Cu,+2,d9,4,"N,S",1.8500,8.0100,1.8500,685859137180,819703276960,322002144222
QAXLAE,Ir,,,6,"C,N,O",2.9300,5.6700,2.9300,704742562284,865599140007,589291208671
QAXLEI,Ir,,,6,"C,N,O",0.3200,5.5100,0.3200,223705715919,649907522145,845420952475
QAXMAH,Fe,+2,d6,4,"Cl,P",0.0800,6.2400,0.0800,563269564780,895297889341,642648310330
QAXQAJ,Fe,+2,d6,4,N,0.0300,5.6300,0.0300,522946932166,282229294979,30567884019
QAXQAJ01,Fe,+2,d6,4,N,0.0300,5.6700,0.0300,302101806578,282229294979,30567884019
QAXQUD,Fe,+2,d6,4,N,3.6200,5.5200,3.6200,824717160145,40756345775,30567884019
QAXQUD01,Fe,+2,d6,4,N,4.1300,5.5100,4.1300,946665380089,40756345775,30567884019
QAXQUD02,Fe,+2,d6,4,N,3.6000,5.5100,3.6000,95985019077,40756345775,30567884019
QAXQUD03,Fe,+2,d6,4,N,4.2400,6.5100,4.2400,971737844446,3590408973,30567884019
