subtask,method,pool_id,n_candidates,n_positives,n_negatives,top1_correct,top1_score,top5_has_correct
B_same_metal,coordrep_full,MOF_ACOMEL,75,1,30,False,0.5892,False
B_same_metal,coordrep_full,MOF_ACORUJ,17,3,9,True,0.6357,True
B_same_metal,coordrep_full,MOF_ACOYEY,45,1,18,True,0.6312,True
B_same_metal,coordrep_full,MOF_ACPCRB,25,12,7,True,1.0,True
B_same_metal,coordrep_full,MOF_ACPCRB01,25,12,7,True,1.0,True
B_same_metal,coordrep_full,MOF_ACUCEG,45,1,18,True,0.6312,True
B_same_metal,coordrep_full,MOF_ACUCIK,45,1,18,True,0.6312,True
B_same_metal,coordrep_full,MOF_ACUDAD,25,7,5,True,1.0,True
B_same_metal,coordrep_full,MOF_ACUDEJ,148,43,44,True,0.6208,True
B_same_metal,coordrep_full,MOF_ACUFAH,25,12,5,True,1.0,True
B_same_metal,coordrep_full,MOF_ACUFOV,45,19,14,True,0.6208,True
B_same_metal,coordrep_full,MOF_ACUFUR,148,26,60,True,1.0,True
B_same_metal,coordrep_full,MOF_ACUFUR01,148,26,60,True,1.0,True
B_same_metal,coordrep_full,MOF_ACUHEO,18,3,14,True,0.5127,True
B_same_metal,coordrep_full,MOF_ACUQEX,33,3,12,True,0.86,True
B_same_metal,coordrep_full,MOF_ACUQUK,25,4,5,True,0.6625,True
B_same_metal,coordrep_full,MOF_ACUQUK01,25,4,5,True,0.6625,True
B_same_metal,coordrep_full,MOF_ACUQUO,32,9,8,True,0.85,True
B_same_metal,coordrep_full,MOF_ACURAR,25,8,5,True,0.9,True
B_same_metal,coordrep_full,MOF_ACUREV,25,6,5,True,1.0,True
B_same_metal,coordrep_full,MOF_ACUWIE,148,34,51,False,0.6179,True
B_same_metal,coordrep_full,MOF_ACUWON,11,1,7,False,0.6457,True
B_same_metal,coordrep_full,MOF_ACYLAG,25,2,5,True,1.0,True
B_same_metal,coordrep_full,MOF_ADAFAN,45,22,13,True,1.0,True
