complex_id,metal,CN,metal_row,ranker_base_top1,ranker_base_mrr,ranker_base_win_rate,minphys_only_top1,minphys_only_mrr,minphys_only_win_rate,ranker_minphys_top1,ranker_minphys_mrr,ranker_minphys_win_rate,shuffled_minphys_top1,shuffled_minphys_mrr,shuffled_minphys_win_rate
tmqm_2938,Mo,6,4d,0,0.1667,0.6667,0,0.0833,0.2667,0,0.1667,0.6667,0,0.1667,0.6667
tmqm_7341,Os,8,5d,0,0.1429,0.6471,0,0.0667,0.1765,0,0.125,0.5882,0,0.1111,0.5294
tmqm_3334,W,6,5d,0,0.125,0.5333,0,0.0833,0.2667,0,0.1111,0.4667,0,0.1111,0.4667
tmqm_4707,Re,4,5d,0,0.1667,0.6154,0,0.0833,0.1538,0,0.125,0.4615,0,0.1429,0.5385
tmqm_750,Ti,7,3d,0,0.1111,0.5294,0,0.0667,0.1765,0,0.1111,0.5294,0,0.1111,0.5294
tmqm_2208,Mo,6,4d,0,0.1667,0.6429,0,0.0909,0.2857,0,0.1667,0.6429,0,0.1667,0.6429
tmqm_9614,Rh,11,4d,0,0.0909,0.375,0,0.0714,0.1875,0,0.0833,0.3125,0,0.0909,0.375
tmqm_4765,Mn,5,3d,0,0.0909,0.2857,0,0.0714,0.0714,0,0.1429,0.5714,0,0.1429,0.5714
tmqm_2701,W,7,5d,0,0.1,0.3571,0,0.0714,0.0714,0,0.1111,0.4286,0,0.1111,0.4286
tmqm_689,Hf,12,5d,0,0.0833,0.3529,0,0.0909,0.4118,0,0.0833,0.3529,0,0.0909,0.4118
tmqm_7485,Os,8,5d,0,0.2,0.7333,0,0.0769,0.2,0,0.1667,0.6667,0,0.0909,0.3333
tmqm_7735,Ru,6,4d,0,0.1667,0.7059,0,0.0625,0.1176,0,0.1667,0.7059,0,0.125,0.5882
tmqm_2699,W,5,5d,0,0.0909,0.3333,0,0.0667,0.0667,0,0.0909,0.3333,0,0.125,0.5333
tmqm_4223,Mn,9,3d,0,0.1429,0.6471,0,0.0625,0.1176,0,0.1111,0.5294,0,0.1111,0.5294
tmqm_3440,Re,9,5d,0,0.25,0.8235,0,0.0625,0.1176,0,0.2,0.7647,0,0.1667,0.7059
tmqm_6680,Os,7,5d,0,0.1111,0.4286,0,0.0714,0.0714,0,0.1111,0.4286,0,0.1667,0.6429
tmqm_8971,Ir,7,5d,0,0.0833,0.3529,0,0.0588,0.0588,0,0.0769,0.2941,0,0.0769,0.2941
tmqm_3544,Re,8,5d,0,0.2,0.7143,0,0.0714,0.0714,0,0.2,0.7143,0,0.1429,0.5714
